lr,G_steps,D_steps,S_steps,n_true_events,gen_chi2_stat,gen_p_value,random_chi2_stat,random_p_value,gen_emd,random_emd,G_error
0.01,1,1,1,1024,27.45211181621066,0.9999999936379325,22.31065403132619,0.9999999999412815,0.14668439236430886,0.16738868250512717,132.91462739700285
0.01,1,1,1,1024,27.45211181621066,0.9999999936379325,22.31065403132619,0.9999999999412815,0.14668439236430886,0.16738868250512717,132.91462739700285
0.01,1,1,1,2048,34.51274995474909,0.9999979852258158,28.811585276303703,0.999994623275318,0.1861250512888167,0.2041951496858662,141.49197569856875
0.01,1,1,1,10240,23.707581925353683,0.9999999998900548,30.119320390181596,0.999996359494919,0.24655632285904738,0.23322808391621638,140.1881853818575
0.01,1,1,5,1024,27.050637844812464,0.9999999957168243,25.247802809523634,0.9999999969191119,0.15687417924858862,0.18366246262499883,137.36317524977395
0.01,1,1,5,2048,29.145863453076963,0.9999999691629076,21.16461072572963,0.999999999560551,0.13776671880700841,0.18981649516082721,141.16602651308796
0.01,1,1,5,10240,34.9302329920197,0.9999973326417433,30.75644081225094,0.9999923643451774,0.267953956747281,0.26007132222336543,141.09309942500207
0.01,1,1,10,1024,22.89543348718834,0.9999999999596229,23.540582331625743,0.9999999994400833,0.21042097486049494,0.23582424114938172,139.83098607890096
0.01,1,1,10,2048,31.905522859828494,0.9999996954009878,26.897059606612316,0.9999999771240101,0.19184819010699886,0.23296291433303842,139.87523660164277
0.01,1,1,10,10240,24.40468653467739,0.9999999997497756,26.206927044511833,0.9999999973151206,0.22300353634733847,0.255712302844087,141.33608158715128
0.01,1,5,1,1024,24.707458477216683,0.999999999645999,25.19721171804643,0.999999998034799,0.22047049434119406,0.24058668992429566,141.77457690738981
0.01,1,5,1,2048,33.10411600063438,0.9999992515904708,28.504907862271523,0.9999999381718835,0.1773391970153641,0.18235559608721105,140.7645146136045
0.01,1,5,5,1024,25.566442605427213,0.9999999990826307,23.861708186290056,0.9999999996313657,0.15802127934066942,0.22986418888213175,142.47869639044404
0.01,1,5,5,2048,20.00079686585009,0.9999999999992649,32.30993784207993,0.9999932729566771,0.20327379002786775,0.18643456288754925,140.4404627568183
0.01,1,5,10,1024,23.01295974554416,0.9999999999531831,24.774681414697397,0.9999999983562858,0.2121235089127623,0.2125306877543648,142.32314826416388
0.01,1,5,10,2048,18.436402984421758,0.9999999999999397,22.775420488004027,0.9999999997965395,0.17490247135863096,0.17759785028491382,141.89599217896705
0.01,1,10,1,1024,23.56170488150567,0.9999999999078335,32.62617605616726,0.9999927388832673,0.24185709318176343,0.2388422570990897,139.42729063110912
0.01,1,10,5,1024,17.980356472414357,0.9999999999999724,19.54466743066836,0.9999999999930503,0.1844859848675964,0.20839152201772282,139.19492274374338
0.01,1,10,10,1024,33.62485540718151,0.9999989120095033,22.986994787969337,0.9999999630905753,0.19122208436456115,0.1619839327542563,138.35804728033222
0.01,5,1,1,1024,20.55397882515343,0.9999999999983252,19.994291161979923,0.9999999999832833,0.16254356400324535,0.15239179884673273,141.6085022095132
0.01,5,1,1,2048,26.16638128272806,0.9999999982633662,25.71477807508595,0.9999999987470881,0.179719817985239,0.21432277552420353,141.4632233806134
0.01,5,1,1,10240,29.06834633474049,0.9999999712240989,26.241763353757076,0.9999999876139221,0.2702323583478441,0.23461588852696788,142.31559643596515
0.01,5,1,5,1024,24.106458371378835,0.9999999998232691,22.579318814966246,0.9999999811919391,0.1876661230290394,0.18766700594864824,139.83764728034757
0.01,5,1,5,2048,16.643244074729772,0.9999999999999976,27.920369612846457,0.9999941957836866,0.18660548371935598,0.19719832007176352,140.32918601100502
0.01,5,1,5,10240,26.74265939387194,0.9999999968567752,24.91552367191839,0.9999999976593372,0.21811953068448625,0.22495138181137084,142.5141191016955
0.01,5,1,10,1024,21.131711124817752,0.9999999999961623,23.547559723188602,0.9999999962863523,0.17927671157687036,0.20270958073949397,139.78958210754445
0.01,5,1,10,2048,22.490446620369298,0.999999999975948,23.162676850296908,0.9999996269826547,0.20071286733069452,0.21779712080712996,142.68004790943883
0.01,5,1,10,10240,33.032115124806374,0.9999992898651175,33.17188481017492,0.9999977084293722,0.2578087102413477,0.22804497232026313,141.22688036129014
0.01,5,5,1,1024,28.236291192400785,0.999999986551681,30.920017071193342,0.9999984737194697,0.20373743329564376,0.2419262486466789,141.15733088254717
0.01,5,5,1,2048,20.033594764711864,0.9999999999992275,25.573176207852928,0.9999999976072829,0.20459155745581997,0.21382548104421084,142.40369737204193
0.01,5,5,5,1024,22.618068912799146,0.999999999971644,19.594476224237884,0.9999999999964508,0.1660074151115625,0.18547638028861435,141.71721334951226
0.01,5,5,5,2048,31.25958846742521,0.9999998166155235,29.193615952915778,0.9999995913833898,0.281569136393211,0.23021766633437316,141.9928401467791
0.01,5,5,10,1024,18.399358272283287,0.9999999999999434,21.747231804182306,0.999999999976723,0.19566447276069565,0.2183302673601506,143.24780417949196
0.01,5,5,10,2048,19.693514854199645,0.9999999999995408,22.88377520014892,0.9999999990086333,0.14829789367062457,0.17347645284732816,141.19610574500558
0.01,5,10,1,1024,27.86086281643082,0.9999999905648471,26.56161100173976,0.9999999762214022,0.2560353730914319,0.2209852784856353,139.25219324064207
0.01,5,10,5,1024,22.939749402271204,0.9999999999573006,23.733329018551274,0.9999999610787812,0.20817339779916713,0.17748570026956134,139.95852313619082
0.01,5,10,10,1024,28.940596317491803,0.9999999743405859,22.10374820460289,0.9999999999617808,0.21138800492277582,0.20458590825960546,140.7984381683413
0.01,10,1,1,1024,24.61407428572214,0.9999999996817182,21.984927256959413,0.9999999996053255,0.1914724202478734,0.1761850486404328,140.91559085591143
0.01,10,1,1,2048,39.55829138442212,0.9999578568072363,27.377509912348746,0.9999995269040491,0.19548748430092044,0.15476391860694425,141.63384865392146
0.01,10,1,1,10240,32.344228858914576,0.9999995740566545,28.42530245713226,0.9999999542550707,0.23613642849653674,0.25280218986818315,144.26164022888398
0.01,10,1,5,1024,30.135085883220796,0.9999999272253363,22.36987594976883,0.9999999999744063,0.2186828133729721,0.19505008027159745,141.03162103056735
0.01,10,1,5,2048,36.48930209707514,0.9999927571762101,27.579212161795326,0.9999999771667732,0.22106602709516326,0.18164545344300084,140.79101014865927
0.01,10,1,5,10240,28.4957835835784,0.9999999828893782,28.89639076413779,0.9999998426548649,0.2517481229933808,0.25977592384142717,142.4282731387909
0.01,10,1,10,1024,27.150387313645837,0.999999995270556,26.38379691307976,0.9999999910288936,0.17668551090687926,0.18584191928760072,141.52957940004936
0.01,10,1,10,2048,33.87479235437979,0.9999987024051465,29.888341895469484,0.9999997243413045,0.17927502241534574,0.18487542559991865,141.5742274277569
0.01,10,1,10,10240,34.75696260641224,0.9999976242070722,26.346754158952773,0.9999999962511108,0.24069890047770054,0.24858674742026043,144.05315785969808
0.01,10,5,1,1024,33.04223502162375,0.9999992845979898,29.71547152796821,0.9999946624561907,0.16628778015400505,0.16607954329399854,141.57413772017088
0.01,10,5,1,2048,37.4654366705807,0.9999869563186089,24.942279085733485,0.9999999956745911,0.18561318305835778,0.14024618409883227,141.32401397780617
0.01,10,5,5,1024,21.169957578088205,0.9999999999959501,24.41385193419404,0.999999995540179,0.1487830094107291,0.17325974582077228,141.33600175418533
0.01,10,5,5,2048,29.767361154856072,0.9999999468384745,24.073435996932044,0.9999999989994123,0.17491393009821254,0.1819916636071207,139.80144355905358
0.01,10,5,10,1024,16.557697117371106,0.999999999999998,26.34452628373334,0.9999996284224544,0.20488403810617623,0.21708027496417784,141.99066096260415
0.01,10,5,10,2048,20.86341853631607,0.9999999999973789,29.459536396419193,0.9999998450596584,0.1706831109943575,0.2086426416894319,141.4441185822938
0.01,10,10,1,1024,22.417532501136506,0.9999999999781197,25.24404335965005,0.9999999978027136,0.19830366688372847,0.17722818754076342,141.1888803534518
0.01,10,10,5,1024,45.55642265950556,0.999315716459454,23.017417448365673,0.9999999960925393,0.17012841671088347,0.1625302456031951,139.18780041511127
0.01,10,10,10,1024,21.340684424947327,0.9999999999948583,20.994205320461546,0.9999999999839835,0.19818828619656503,0.2396736481548457,138.94514426511896
